Intervention,AE.AR,AE.AV.AF.AR,AF.AR,AN.AE.AF.AR,AN.AE.AR,AN.AE.AV.AF.AR,AN.AE.AV.AR,AN.AF.AR,AN.AR,AN.AV.AF.AR,AN.AV.AR,AR,AV.AF.AR
AE.AF.AR,"0.81 (0.24 , 1.37)","-0.06 (-0.59 , 0.46)","0.2 (-0.23 , 0.63)","0.23 (-0.2 , 0.66)","0.41 (-0.06 , 0.87)","0.05 (-0.58 , 0.68)","0.92 (0.07 , 1.78)","0.38 (-0.05 , 0.8)","0.43 (-0.12 , 0.98)","0.37 (-0.09 , 0.83)","0.42 (-0.06 , 0.91)","0.46 (-0.04 , 0.96)","0.24 (-0.16 , 0.64)"
AE.AR,NA,"-0.87 (-1.46 , -0.29)","-0.61 (-1.11 , -0.1)","-0.58 (-1.08 , -0.07)","-0.4 (-0.94 , 0.13)","-0.76 (-1.45 , -0.07)","0.12 (-0.78 , 1.01)","-0.43 (-0.93 , 0.07)","-0.38 (-0.99 , 0.24)","-0.44 (-0.97 , 0.1)","-0.39 (-0.94 , 0.17)","-0.35 (-0.92 , 0.21)","-0.57 (-1.06 , -0.07)"
AE.AV.AF.AR,NA,NA,"0.26 (-0.19 , 0.71)","0.3 (-0.16 , 0.76)","0.47 (-0.02 , 0.96)","0.11 (-0.54 , 0.77)","0.99 (0.12 , 1.86)","0.44 (-0.02 , 0.9)","0.5 (-0.08 , 1.07)","0.44 (-0.04 , 0.91)","0.49 (-0.03 , 1)","0.52 (-0.01 , 1.05)","0.31 (-0.14 , 0.75)"
AF.AR,NA,NA,NA,"0.03 (-0.31 , 0.37)","0.21 (-0.19 , 0.6)","-0.15 (-0.73 , 0.43)","0.72 (-0.1 , 1.54)","0.18 (-0.17 , 0.52)","0.23 (-0.26 , 0.72)","0.17 (-0.21 , 0.55)","0.22 (-0.2 , 0.64)","0.26 (-0.18 , 0.69)","0.04 (-0.28 , 0.36)"
AN.AE.AF.AR,NA,NA,NA,NA,"0.18 (-0.22 , 0.57)","-0.18 (-0.77 , 0.4)","0.69 (-0.13 , 1.51)","0.14 (-0.2 , 0.49)","0.2 (-0.3 , 0.69)","0.14 (-0.25 , 0.53)","0.19 (-0.23 , 0.61)","0.22 (-0.21 , 0.66)","0.01 (-0.32 , 0.34)"
AN.AE.AR,NA,NA,NA,NA,NA,"-0.36 (-0.97 , 0.25)","0.52 (-0.32 , 1.35)","-0.03 (-0.42 , 0.35)","0.02 (-0.5 , 0.55)","-0.04 (-0.46 , 0.39)","0.01 (-0.44 , 0.47)","0.05 (-0.42 , 0.52)","-0.17 (-0.54 , 0.21)"
AN.AE.AV.AF.AR,NA,NA,NA,NA,NA,NA,"0.87 (-0.07 , 1.82)","0.33 (-0.14 , 0.8)","0.38 (-0.3 , 1.06)","0.32 (-0.28 , 0.93)","0.37 (-0.25 , 1)","0.41 (-0.23 , 1.04)","0.19 (-0.38 , 0.77)"
AN.AE.AV.AR,NA,NA,NA,NA,NA,NA,NA,"-0.55 (-1.36 , 0.27)","-0.49 (-1.38 , 0.4)","-0.55 (-1.39 , 0.28)","-0.5 (-1.35 , 0.35)","-0.47 (-1.32 , 0.39)","-0.68 (-1.49 , 0.13)"
AN.AF.AR,NA,NA,NA,NA,NA,NA,NA,NA,"0.06 (-0.43 , 0.54)","0 (-0.39 , 0.38)","0.05 (-0.37 , 0.46)","0.08 (-0.35 , 0.51)","-0.13 (-0.46 , 0.19)"
AN.AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.06 (-0.58 , 0.46)","-0.01 (-0.55 , 0.53)","0.02 (-0.53 , 0.58)","-0.19 (-0.67 , 0.29)"
AN.AV.AF.AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.05 (-0.38 , 0.48)","0.08 (-0.38 , 0.55)","-0.13 (-0.5 , 0.24)"
AN.AV.AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.03 (-0.45 , 0.52)","-0.18 (-0.58 , 0.22)"
AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.21 (-0.63 , 0.21)"
1,,,,,,,,,,,,,
